CBZ_acet  |  ACR_acet  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_tetr
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_tetr
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_tetr
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_tetr
TMP_acet  |  MAA_dime  |  CBZ_two_VP_aceto
TMP_acet  |  MAA_dime  |  CBZ_two_VP_aceto
TMP_acet  |  MAA_dime  |  CBZ_two_VP_aceto
TMP_acet  |  MAA_dime  |  CBZ_two_VP_aceto
TMP_acet  |  MAA_dime  |  CBZ_two_VP_aceto
TMP_acet  |  MAA_dime  |  CBZ_two_VP_aceto
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dichl
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dichl
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dichl
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dichl
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dichl
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dichl
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_VP_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_VP_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_VP_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_VP_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_VP_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_VP_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_VP_tetra
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dich
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dich
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dich
